Date,Campaign name,Ad set name,Ad name,External destination URL,Reach,Amount spent,Impressions,Post engagements,Page likes,Post reactions,Clicks to play video,Three-second video views,Video watches at 100%,Video average watch time,Post comments,Post shares
2018-04-29,2.38E+16,Berrien,enbridge_GreatLakes_emotional_6,http://defendmichigan.com/line5/?utm_source=facebook&utm_medium=social&utm_campaign=geo&utm_content=emotional_greatlakes_6,470,1.79,487,49,,0,49,,20,1,,
2018-04-29,2.38E+16,St. Joseph,enbridge_GreatLakes_emotional_15,http://defendmichigan.com/line5/?utm_source=facebook&utm_medium=social&utm_campaign=geo&utm_content=emotional_greatlakes_15,488,1.9,499,44,,0,43,,7,1,,
2018-04-29,2.38E+16,Berrien,enbridge_GreatLakes_fact_6,http://defendmichigan.com/line5/?utm_source=facebook&utm_medium=social&utm_campaign=geo&utm_content=fact_greatlakes_6,1900,7.27,1968,192,,0,190,,96,1,,
2018-04-29,2.38E+16,St. Joseph,enbridge_GreatLakes_aggressive_15,http://defendmichigan.com/line5/?utm_source=facebook&utm_medium=social&utm_campaign=geo&utm_content=aggressive_greatlakes_15,463,1.82,469,42,,0,42,,11,2,,
2018-04-29,2.38E+16,Berrien,enbridge_GreatLakes_emotional_15,http://defendmichigan.com/line5/?utm_source=facebook&utm_medium=social&utm_campaign=geo&utm_content=emotional_greatlakes_15,549,1.79,555,43,,0,43,,11,2,,
2018-04-29,2.38E+16,Berrien,enbridge_GreatLakes_fact_15,http://defendmichigan.com/line5/?utm_source=facebook&utm_medium=social&utm_campaign=geo&utm_content=fact_greatlakes_15,554,1.87,565,51,,0,51,,7,2,,
2018-04-29,2.38E+16,St. Joseph,enbridge_GreatLakes_aggressive_6,http://defendmichigan.com/line5/?utm_source=facebook&utm_medium=social&utm_campaign=geo&utm_content=aggressive_greatlakes_6,1468,6.43,1498,141,,0,137,,71,1,,
2018-04-29,2.38E+16,Wayne,enbridge_GreatLakes_emotional_6,http://defendmichigan.com/line5/?utm_source=facebook&utm_medium=social&utm_campaign=geo&utm_content=emotional_greatlakes_6,3318,6.99,3332,141,,0,141,,71,0,,
2018-04-29,2.38E+16,St.Clair,enbridge_GreatLakes_emotional_30,http://defendmichigan.com/line5/?utm_source=facebook&utm_medium=social&utm_campaign=geo&utm_content=emotional_greatlakes_30,547,2.53,577,75,,0,75,,1,2,,
2018-04-29,2.38E+16,Wayne,enbridge_GreatLakes_fact_15,http://defendmichigan.com/line5/?utm_source=facebook&utm_medium=social&utm_campaign=geo&utm_content=fact_greatlakes_15,3758,7.13,3781,335,,7,325,,50,1,,
2018-04-29,2.38E+16,Wayne,enbridge_GreatLakes_fact_6,http://defendmichigan.com/line5/?utm_source=facebook&utm_medium=social&utm_campaign=geo&utm_content=fact_greatlakes_6,962,2.23,972,64,,0,64,,31,1,,
2018-04-29,2.38E+16,Wayne,enbridge_GreatLakes_emotional_15,http://defendmichigan.com/line5/?utm_source=facebook&utm_medium=social&utm_campaign=geo&utm_content=emotional_greatlakes_15,1077,2.07,1081,86,,2,83,,18,1,,
2018-04-29,2.38E+16,Wayne,enbridge_GreatLakes_aggressive_15,http://defendmichigan.com/line5/?utm_source=facebook&utm_medium=social&utm_campaign=geo&utm_content=aggressive_greatlakes_15,1004,1.96,1008,74,,1,71,,11,1,,
2018-04-29,2.38E+16,Wayne,enbridge_GreatLakes_aggressive_30,http://defendmichigan.com/line5/?utm_source=facebook&utm_medium=social&utm_campaign=geo&utm_content=aggressive_greatlakes_30,1447,4.03,1492,130,,1,126,,7,2,,
2018-04-29,2.38E+16,Van Buren,enbridge_GreatLakes_fact_30,http://defendmichigan.com/line5/?utm_source=facebook&utm_medium=social&utm_campaign=geo&utm_content=fact_greatlakes_30,1131,4.01,1175,111,,0,108,,4,2,,
2018-04-29,2.38E+16,Wayne,enbridge_GreatLakes_emotional_30,http://defendmichigan.com/line5/?utm_source=facebook&utm_medium=social&utm_campaign=geo&utm_content=emotional_greatlakes_30,1143,3.37,1180,118,,1,116,,6,1,,
2018-04-29,2.38E+16,Wayne,enbridge_GreatLakes_fact_30,http://defendmichigan.com/line5/?utm_source=facebook&utm_medium=social&utm_campaign=geo&utm_content=fact_greatlakes_30,1255,3.54,1304,125,,2,122,,5,1,,
2018-04-29,2.38E+16,Van Buren,enbridge_GreatLakes_emotional_30,http://defendmichigan.com/line5/?utm_source=facebook&utm_medium=social&utm_campaign=geo&utm_content=emotional_greatlakes_30,941,3.35,978,120,,0,120,,6,2,,
